frame.number,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,ip.proto,tcp.flags.syn,tcp.flags.ack,tcp.flags.fin,ip.len,tcp.window_size_value,tcp.analysis.ack_rtt,tcp.analysis.initial_rtt,tcp.analysis.bytes_in_flight,tcp.analysis.push_bytes_sent,frame.time_epoch
1,10.0.0.135,10.0.0.134,0,22,60,6,False,False,False,40,512,,,,,1722049699.896907439
2,10.0.0.134,10.0.0.135,22,0,54,6,False,True,False,40,0,,,,,1722049699.896959920
3,10.0.0.135,10.0.0.134,1,22,60,6,False,False,False,40,512,,,,,1722049700.897401873
4,10.0.0.134,10.0.0.135,22,1,54,6,False,True,False,40,0,,,,,1722049700.897446189
5,10.0.0.135,10.0.0.134,2,22,60,6,False,False,False,40,512,,,,,1722049701.898047513
6,10.0.0.134,10.0.0.135,22,2,54,6,False,True,False,40,0,,,,,1722049701.898102993
7,10.0.0.135,10.0.0.134,3,22,60,6,False,False,False,40,512,,,,,1722049702.899199593
8,10.0.0.134,10.0.0.135,22,3,54,6,False,True,False,40,0,,,,,1722049702.899246367
9,10.0.0.135,10.0.0.134,4,22,60,6,False,False,False,40,512,,,,,1722049703.899572883
10,10.0.0.134,10.0.0.135,22,4,54,6,False,True,False,40,0,,,,,1722049703.899615137
11,10.0.0.135,10.0.0.134,5,22,60,6,False,False,False,40,512,,,,,1722049704.900127245
12,10.0.0.134,10.0.0.135,22,5,54,6,False,True,False,40,0,,,,,1722049704.900159729
13,10.0.0.135,10.0.0.134,6,22,60,6,False,False,False,40,512,,,,,1722049705.901077841
14,10.0.0.134,10.0.0.135,22,6,54,6,False,True,False,40,0,,,,,1722049705.901133423
15,10.0.0.135,10.0.0.134,7,22,60,6,False,False,False,40,512,,,,,1722049706.901782669
16,10.0.0.134,10.0.0.135,22,7,54,6,False,True,False,40,0,,,,,1722049706.901823119
17,10.0.0.135,10.0.0.134,8,22,60,6,False,False,False,40,512,,,,,1722049707.902432182
18,10.0.0.134,10.0.0.135,22,8,54,6,False,True,False,40,0,,,,,1722049707.902468938
19,10.0.0.135,10.0.0.134,9,22,60,6,False,False,False,40,512,,,,,1722049708.903082654
20,10.0.0.134,10.0.0.135,22,9,54,6,False,True,False,40,0,,,,,1722049708.903151901
21,10.0.0.135,10.0.0.134,10,22,60,6,False,False,False,40,512,,,,,1722049709.903959274
22,10.0.0.134,10.0.0.135,22,10,54,6,False,True,False,40,0,,,,,1722049709.904027678
23,10.0.0.135,10.0.0.134,11,22,60,6,False,False,False,40,512,,,,,1722049710.904611292
